address,token,total_deposit,total_withdrawal
0x000000438750680C5C6D9f51b6F065d767E44625,ETH,0.011100,0.000000
0x00000091901c866c5Ff415092958B873072B299F,ETH,0.010300,0.000000
0x000001AdF229Fd07985eE1f6D82A89324726B0D2,ETH,0.011900,0.000000
0x0000024BC043e565527f26318f7bb5DBae457a36,USDC,169.100000,162.960307
0x0000080efA65692E23891ee1c443c5bf2EaeE20E,ETH,0.009500,0.000000
0x0000084164375908f9679FDE512d0438dD4662a4,ETH,0.013000,0.000000
0x00000Adc2A1ffA64A2A5A9eA23E17cce9FDA4464,USDC,20.713438,0.000000
0x00000C2BE4EdF75D0f292153cC27230891DC67A5,USDC,6.152514,5.407551
0x00000b1Afb7d0dfB1B6dbF097AcB21912CEeF93a,ETH,0.005680,0.000000
0x00011537965A29cd39a3E08DFF84d84B09551323,USDC,15.026600,0.000000
0x0003C849A0B0fEcf637266Da1ba02Af94cb01Aa6,MAG7.SSI,17.919327,17.562192
0x0006Fe05d917929C98D00Cb76c7801c815807C49,MAG7.SSI,75.927700,75.851800
0x0009145268A1f71353F99bAef7e41524163769f4,USDC,15.000000,0.000000
0x000C6a419Fb993d695896A6eA1D95CB55aE56717,MAG7.SSI,11.000089,0.000000
0x000CadfD2b29eF0D1D664E6AE64AAB6B1b29CC6d,USDC,105.019000,101.058169
0x000Ee69C014f1d68D3Cc73A0696d0B1451d2402b,USDC,37.800000,37.938760
0x000c2Bb42F752C80f14198Dda12672D56ddD6192,USDC,350.000000,346.193416
0x00125Dc9720398629Ce0aD9cB4d80c91aa8A255b,MAG7.SSI,32.120000,0.000000
0x00132DC95AA36e205560822b003457fF779Aac7E,MAG7.SSI,32.160000,0.000000
0x001488c26d4C5c8aFa20cB0793CC3e48b57bC07D,MAG7.SSI,76.772400,76.695400
0x00153559B94f25854aD01f5791a962B3447600FF,USDC,52.024210,37.365116
0x001917A6269510ce5F3A59305d5884c8a2A811C5,MAG7.SSI,33.000000,0.000000
0x00194F67ee4cCcCa7996272DE416dd59748Ca0ED,USDC,15.145000,12.039295
0x001CBc1798B400e2B644CaE109228b016F691B67,USDC,15.026900,0.000000
0x0026bD0c45Bb02f01a0a974Dfe996EE1A7F2C658,USDC,15.026100,0.000000
0x0027E8BB10C45d8648e87e149fEDDec91a7a8fc9,MAG7.SSI,15.012900,0.000000
0x002c7150b90d684c0bed9cBB7355fE4e51a816Ad,USDC,39.000000,38.687125
0x00322790844Eff54BB041945ba8CfC7c0b3c8aD1,ETH,0.007000,0.000000
0x00322790844Eff54BB041945ba8CfC7c0b3c8aD1,USDC,37.000000,0.000000
0x003916b1Fa3fAb06e5f520Ba7151A703aec4b396,USDC,41.000000,41.825369
0x00392f1F79d2CFcaa4C49BfAf8a2B064E4F61fF6,MAG7.SSI,16.025600,16.009500
0x003950625056f81252acc31C05D3C3974c914f47,USDC,104.423894,101.201297
0x00399D481a9075742c488d4FB9A226e33C97D6dF,BNB,0.000000,0.005995
0x00399D481a9075742c488d4FB9A226e33C97D6dF,ETH,0.000000,0.187955
0x00399D481a9075742c488d4FB9A226e33C97D6dF,SMAG7.SSI,236292.115800,0.000000
0x00399D481a9075742c488d4FB9A226e33C97D6dF,USDC,29.500000,157906.675936
0x003FF4232A2ac62B2916B29c1c987955C398F171,USDC,16.000000,0.000000
0x004288C90B8960e4ac3c786635f9BB186D0cDF13,USDC,14.278129,0.000000
0x0043013EC07ef54a5047b9470c3148F328aA44c3,USDC,40.810646,42.429775
0x0044721d4EcF8dc0B428a1E91e8338b283B901F1,MAG7.SSI,15.061000,0.000000
0x0045E7C793976Dc7891f5Bb50217c597323c5f4b,MAG7.SSI,15.075000,0.000000
0x004BDfB8aC8eF141500390D3DAE29EdD88073371,USDC,38.747100,0.000000
0x004eC9E4c0AA870Dab71713Ce05dD5A0224182Cb,MAG7.SSI,0.000000,75.073320
0x004eC9E4c0AA870Dab71713Ce05dD5A0224182Cb,USDC,40.714887,0.000000
0x0050D4329a8Ec264b68f48b904c480e82c7C6795,USDC,15.050000,0.000000
0x0051033363B205f848B915F4742b8eAeF17beD13,ETH,0.006000,0.000000
0x0051033363B205f848B915F4742b8eAeF17beD13,USDC,0.000000,468.460000
0x0052B730393037b4fe97C79400381Fe4f45a0a18,USDC,39.451100,0.000000
0x0053B018216592CEa486e79aaC2e42e2aA16ac31,USDC,785.563989,775.027519
0x0054FB17489F333e65B34fA70082F96c13e2c68D,MAG7.SSI,173.195662,182.940361
0x0054FB17489F333e65B34fA70082F96c13e2c68D,SMAG7.SSI,10.003300,0.000000
0x0054FB17489F333e65B34fA70082F96c13e2c68D,USDC,412.608530,320.373846
0x0059Ed1c4342d095157b8B7bd569973EBF318726,USDC,15.950100,0.000000
0x005A3E49aF2Cf567D655c6cCb3e5982E1D55E72b,USDC,13824.075850,1690.000000
0x005BE7f6b9F908C5f97E2fbe2792242c8c1C5963,USDC,10.000000,0.000000
0x005C15D464E2df055106DE64529dF08ca51f0567,USDC,15.010100,0.000000
0x005aE6B809F4B45439Dfc58fa845957041178ae9,USDC,19.975700,0.000000
0x005b12F5b7c22b497528fa0A6Bc81510748fB58E,USDC,161.160412,0.000000
0x005bf03e9F25D13AbBbb7d6cd2130f9E3Bb263B7,SMAG7.SSI,3427.867900,0.000000
0x00605754E7BB81120BD4569477B6cD32C10B6eF7,USDC,39.639767,37.568901
0x00634A90E0fdBEd5cdc43C6042FAf4b0C06F3280,USDC,39.480000,66.700000
0x0064a82241ee944Db283Dd55eE3c5Adf00be116c,USDC,155.944463,0.000000
0x0065292931eF99FC478905ab88D39635B9721506,USDC,23.415733,18.994386
0x006DCAAD635c6D20FBfA9D08071e75aCe4664fC3,USDC,37.080374,41.669079
0x006F3f6fF35FA2c30584F55a039178d496F8E1c1,MAG7.SSI,69.113376,0.000000
0x006F3f6fF35FA2c30584F55a039178d496F8E1c1,USDC,0.000000,61.591981
0x006a8F1e715Dd84C0891d3d766D207b055f301Df,MAG7.SSI,0.000000,75.207541
0x006a8F1e715Dd84C0891d3d766D207b055f301Df,USDC,38.000000,0.000000
0x006cEa5ED1F8956E9705099C3A34E3C38f7278a2,USDC,15.900000,15.900000
0x006dA47B92837dC17511E4bBbA55EFc8510aB302,MAG7.SSI,15.482600,15.467100
0x006ea971BA744fe060988B29E0ea1adE9FDCb2d3,USDC,12185.593180,0.000000
0x00704fDB975Da57DE17b4CeD41929e045415018C,MAG7.SSI,16.605200,16.588500
0x007094aa48C649b68f1dB683C690b514D48774Cf,MAG7.SSI,8.997487,8.965086
0x00727be1405BF38Cb3cE6B1ec8638a51b37ed540,MAG7.SSI,76.229200,76.152700
0x0075e199dBA0b9392d7A2C9635Cd97a5461a11a3,USDC,36.304888,38.937636
0x0078291C9285736445c410a9d8dD006967132c8c,MAG7.SSI,107.068694,103.461406
